Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7003","Mars","%","3.128442","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7004","Avril","%","3.129465","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7005","Mai","%","2.803574","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7006","Juin","%","3.159613","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7007","Juillet","%","2.956215","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7008","Août","%","2.794698","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7009","Septembre","%","2.639916","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7010","Octobre","%","1.772804","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7011","Novembre","%","2.000959","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23014","Food price inflation","7012","Décembre","%","2.849716","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","110.850419","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","113.086463","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","114.082424","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","112.535492","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","109.202612","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","108.858621","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","108.266534","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","109.166679","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","109.496398","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","108.417856","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","107.808107","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","110.611106","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7001","Janvier","","105.516923","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7002","Février","","106.363626","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7003","Mars","","106.669552","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7004","Avril","","106.149814","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7005","Mai","","104.888473","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7006","Juin","","104.829689","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7007","Juillet","","104.554267","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7008","Août","","104.936785","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7009","Septembre","","105.178023","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7010","Octobre","","104.996361","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7011","Novembre","","104.735532","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","3","Albanie","2018","2018","23012","Prix à la Consommation, Indices généraux (2015 = 100)","7012","Décembre","","105.848075","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7001","Janvier","%","1.815704","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7002","Février","%","1.423839","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7003","Mars","%","1.005001","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7004","Avril","%","1.672063","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7005","Mai","%","6.656566","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7006","Juin","%","8.532007","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7007","Juillet","%","7.1677","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7008","Août","%","4.041829","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7009","Septembre","%","2.226885","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7010","Octobre","%","3.582047","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7011","Novembre","%","2.802318","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23014","Food price inflation","7012","Décembre","%","-0.132651","Fc","Donnée calculée",""
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","110.005846","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","107.896822","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","109.416792","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","110.652754","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","114.776132","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","117.079754","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","111.820343","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","4","Algérie","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","112.504066","X","Sources internationales sûres","base year is 2015"
