Zone,Difference de population,Disponibilité alimentaire Kcal,Disponibilité alimentaire Protéine,Proportion Protéine Animale,Disponibilité alimentaire Kcal - volaille,Solde importation - Quantité,Production,PIB
Géorgie,-0.6633039972859203,2872.0,76.91,0.36861266415290606,51.0,11.4749845337165,5.438144844239558,13589.707391515902
Ghana,6.514094240434979,3033.0,62.96,0.24380559085133416,16.0,5.18517780867518,1.999349620743733,4996.638706073039
Grèce,-1.2489770044798774,3355.0,105.21,0.5395874916833001,53.0,4.7306151218842984,23.059856473137202,29089.0140066987
Grenade,1.7768557770361675,2404.0,70.58,0.6065457636724285,192.0,63.1370073058537,4.7893929827726165,16217.4998498411
Guatemala,5.863031385807964,2549.0,69.88,0.3080995993131082,71.0,7.21254604649018,13.243062210574418,8317.36411696486
Guinée,7.595098247195785,2795.0,61.84,0.1845084087968952,14.0,3.066081514677415,1.2422602158521385,2420.60099315665
Guinée-Bissau,7.422845077510478,2253.0,44.15,0.2113250283125708,7.0,2.188016235080464,1.4068944391567384,1925.2377365995103
Guyana,1.5273083769768623,2885.0,87.87,0.4429270513258222,165.0,0.0,39.56038285905936,8989.038273929009
Haïti,3.945960662407118,2164.0,49.94,0.1998398077693232,31.0,8.103897428332864,0.7602184227994503,1763.6632606830603
Honduras,5.020887664770745,2552.0,64.16,0.347568578553616,93.0,1.1666124015140509,20.425580204072325,5561.9963118339
Hongrie,-0.7725733877913474,3286.0,87.92,0.5665377616014559,104.0,-15.622077284060753,35.05789418509284,29529.309228451202
Îles Salomon,7.697629079932068,2411.0,53.66,0.2955646664181886,18.0,9.433368970505,0.462235079554745,2337.64268403264
Inde,3.2178051224583135,2517.0,65.33,0.2251645492116945,7.0,-0.002988025234889037,2.6141373722789156,6185.993892585429
Indonésie,3.598279031370237,2892.0,68.63,0.32332799067463214,25.0,0.0037785617705675427,8.532895554204677,10935.8417542919
Iran (République islamique d'),3.976640270679928,3119.0,87.59,0.2886174220801461,96.0,-0.483427845543068,26.521830857769576,14535.863064123401
Iraq,8.36377493224204,2506.0,60.55,0.22378199834847237,52.0,12.515717877611191,2.55640194946952,10971.9700125942
Irlande,2.6600578968627895,3717.0,105.94,0.5705116103454786,100.0,1.2622862528611813,19.15582503029487,78128.181584186
Islande,1.7345016298334313,3628.0,141.01,0.7156939224168499,104.0,5.98104010287389,28.999072938784057,55562.4266215313
Israël,4.726432431448902,3509.0,122.7,0.591279543602282,234.0,-0.3639076402409068,65.26877611795459,38966.662693454906
Italie,0.43524624343001084,3522.0,106.75,0.5343325526932085,65.0,-1.4174180905400526,16.591653385239404,41784.6247136637
Jamaïque,1.5649554068165101,2757.0,72.85,0.4930679478380234,178.0,10.270982761867264,43.92214595066505,9598.370957449559
Japon,-0.5222711701937703,2697.0,86.58,0.5552090552090552,67.0,8.305704513150426,17.371384910738776,40858.8843834887
Jordanie,8.859842384506596,2714.0,69.1,0.3492040520984081,98.0,5.518177284729774,19.669645119887512,9841.169557200279
Kazakhstan,4.299774004674782,3196.0,94.99,0.5789030424255185,61.0,9.292025119441238,9.442965217958829,24862.9661245889
Kenya,7.011151080998962,2124.0,60.88,0.25279237844940866,2.0,0.0,0.604884715878612,4046.20842543927
Kirghizistan,5.576979932888831,2798.0,85.33,0.4046642446970585,11.0,4.038948387086351,1.2341410691581056,5046.69153549093
Kiribati,4.178346180798876,3056.0,73.91,0.4992558517115411,63.0,8.759635599159076,7.507007708479327,2240.54468679755
Koweït,9.002736618919648,3446.0,99.82,0.4751552795031056,156.0,32.79011858681985,13.745962870737902,50855.49995960401
Lesotho,2.2992737374075505,2282.0,64.08,0.19069912609238454,27.0,7.171783335644241,0.9179882669624628,2783.11566178163
Lettonie,-3.593870124545134,3169.0,97.32,0.571619399917797,72.0,11.78822202859925,17.11496079134847,28488.92360721
Liban,8.18741320679183,2880.0,67.68,0.29994089834515364,38.0,1.3197700080799253,18.36870561356841,16005.257042606101
